reading_id,asset_id,date,output_kw,efficiency,temperature_c,vibration_mm,uptime_hours,month
WTG-006-20230720,WTG-006,2023-07-20,1358.84,0.6901,72.6,0.1,22.8,2023-07
WTG-006-20230721,WTG-006,2023-07-21,1276.82,0.638,59.7,0.4,18.7,2023-07
WTG-006-20230722,WTG-006,2023-07-22,1287.03,0.6821,64.6,0.622,18.4,2023-07
WTG-006-20230723,WTG-006,2023-07-23,1940.57,0.6718,61.9,1.303,22.9,2023-07
WTG-006-20230724,WTG-006,2023-07-24,1738.51,0.7,38.4,0.123,20.0,2023-07
WTG-006-20230725,WTG-006,2023-07-25,1565.76,0.663,34.0,0.444,23.5,2023-07
WTG-006-20230726,WTG-006,2023-07-26,1842.96,0.7089,55.0,0.335,19.1,2023-07
WTG-006-20230727,WTG-006,2023-07-27,1856.08,0.6874,30.5,0.233,18.2,2023-07
WTG-006-20230728,WTG-006,2023-07-28,1422.74,0.7086,23.3,0.535,23.0,2023-07
WTG-006-20230729,WTG-006,2023-07-29,1583.71,0.723,29.0,0.485,20.5,2023-07
WTG-006-20230730,WTG-006,2023-07-30,1862.03,0.6861,52.7,0.494,23.6,2023-07
WTG-006-20230731,WTG-006,2023-07-31,1688.12,0.6663,30.7,0.236,20.8,2023-07
WTG-006-20230801,WTG-006,2023-08-01,1316.92,0.6539,75.5,0.718,20.9,2023-08
WTG-006-20230802,WTG-006,2023-08-02,1503.06,0.7156,52.6,0.802,18.2,2023-08
WTG-006-20230803,WTG-006,2023-08-03,1652.96,0.7046,41.6,0.173,19.0,2023-08
WTG-006-20230804,WTG-006,2023-08-04,1693.71,0.7125,60.4,0.285,21.4,2023-08
WTG-006-20230805,WTG-006,2023-08-05,1825.09,0.6925,23.2,0.849,22.9,2023-08
WTG-006-20230806,WTG-006,2023-08-06,1694.04,0.6733,37.2,0.449,19.8,2023-08
WTG-006-20230807,WTG-006,2023-08-07,1194.39,0.6624,26.1,0.786,23.8,2023-08
WTG-006-20230808,WTG-006,2023-08-08,1748.85,0.7106,28.7,0.472,23.6,2023-08
WTG-006-20230809,WTG-006,2023-08-09,1671.22,0.615,21.4,0.235,18.7,2023-08
WTG-006-20230810,WTG-006,2023-08-10,1531.15,0.6654,38.0,0.534,23.5,2023-08
WTG-006-20230811,WTG-006,2023-08-11,1387.22,0.6831,36.2,0.962,21.4,2023-08
WTG-006-20230812,WTG-006,2023-08-12,1414.26,0.6627,76.6,1.077,18.5,2023-08
WTG-006-20230813,WTG-006,2023-08-13,1435.96,0.6937,44.6,1.047,21.2,2023-08
WTG-006-20230814,WTG-006,2023-08-14,1697.25,0.6657,48.1,0.123,20.0,2023-08
WTG-006-20230815,WTG-006,2023-08-15,1649.55,0.6805,44.0,0.368,22.7,2023-08
WTG-006-20230816,WTG-006,2023-08-16,1737.61,0.6688,62.8,1.068,20.2,2023-08
WTG-006-20230817,WTG-006,2023-08-17,2020.4,0.6849,46.1,0.488,22.0,2023-08
WTG-006-20230818,WTG-006,2023-08-18,1819.87,0.6583,53.2,0.335,18.7,2023-08
WTG-006-20230819,WTG-006,2023-08-19,1563.43,0.7082,38.7,1.536,22.7,2023-08
WTG-006-20230820,WTG-006,2023-08-20,2109.29,0.7092,42.5,0.057,21.0,2023-08
WTG-006-20230821,WTG-006,2023-08-21,2195.6,0.7664,20.7,1.087,19.6,2023-08
WTG-006-20230822,WTG-006,2023-08-22,1975.88,0.7118,67.2,1.104,21.3,2023-08
WTG-006-20230823,WTG-006,2023-08-23,2202.67,0.7354,27.0,0.947,21.0,2023-08
WTG-006-20230824,WTG-006,2023-08-24,1807.6,0.7507,72.3,0.12,20.6,2023-08
WTG-006-20230825,WTG-006,2023-08-25,1529.46,0.6609,41.5,0.29,21.1,2023-08
WTG-006-20230826,WTG-006,2023-08-26,2065.18,0.7426,52.0,0.207,21.9,2023-08
WTG-006-20230827,WTG-006,2023-08-27,1786.89,0.7235,23.4,0.093,19.7,2023-08
WTG-006-20230828,WTG-006,2023-08-28,1319.6,0.4875,55.9,3.186,21.2,2023-08
WTG-006-20230829,WTG-006,2023-08-29,1928.28,0.6739,25.1,0.294,23.1,2023-08
WTG-006-20230830,WTG-006,2023-08-30,1762.71,0.6657,78.4,1.118,20.1,2023-08
WTG-006-20230831,WTG-006,2023-08-31,1329.84,0.7371,21.7,0.868,19.2,2023-08
WTG-006-20230901,WTG-006,2023-09-01,1588.07,0.7616,50.2,1.303,22.9,2023-09
WTG-006-20230902,WTG-006,2023-09-02,2080.53,0.6985,62.5,0.032,18.2,2023-09
WTG-006-20230903,WTG-006,2023-09-03,1764.57,0.731,25.6,1.268,20.1,2023-09
WTG-006-20230904,WTG-006,2023-09-04,2034.07,0.6933,20.4,0.312,18.1,2023-09
WTG-006-20230905,WTG-006,2023-09-05,1388.9,0.7188,43.0,1.409,22.2,2023-09
WTG-006-20230906,WTG-006,2023-09-06,1670.04,0.7456,22.6,1.831,18.1,2023-09
WTG-006-20230907,WTG-006,2023-09-07,1223.12,0.4656,98.8,4.685,19.0,2023-09
WTG-006-20230908,WTG-006,2023-09-08,1825.49,0.7365,58.2,0.672,19.1,2023-09
WTG-006-20230909,WTG-006,2023-09-09,1777.78,0.7262,44.9,1.89,21.5,2023-09
WTG-006-20230910,WTG-006,2023-09-10,2165.96,0.7357,60.5,0.398,18.0,2023-09
WTG-006-20230911,WTG-006,2023-09-11,1579.77,0.7078,45.2,0.052,18.3,2023-09
WTG-006-20230912,WTG-006,2023-09-12,1721.68,0.7042,46.6,0.503,23.0,2023-09
WTG-006-20230913,WTG-006,2023-09-13,2205.06,0.7854,45.6,0.517,19.1,2023-09
WTG-006-20230914,WTG-006,2023-09-14,2085.24,0.7003,51.1,1.313,20.4,2023-09
WTG-006-20230915,WTG-006,2023-09-15,1349.95,0.7341,69.3,0.161,22.8,2023-09
WTG-006-20230916,WTG-006,2023-09-16,1457.67,0.7169,78.4,0.224,21.6,2023-09
WTG-006-20230917,WTG-006,2023-09-17,2004.3,0.7681,44.2,0.992,19.1,2023-09
WTG-006-20230918,WTG-006,2023-09-18,2345.19,0.7975,57.5,0.849,21.9,2023-09
WTG-006-20230919,WTG-006,2023-09-19,1886.63,0.714,33.6,0.002,20.1,2023-09
WTG-006-20230920,WTG-006,2023-09-20,1904.07,0.7229,44.1,0.107,20.1,2023-09
WTG-006-20230921,WTG-006,2023-09-21,1571.51,0.727,32.1,0.744,22.3,2023-09
WTG-006-20230922,WTG-006,2023-09-22,1544.71,0.6821,74.5,1.746,19.0,2023-09
WTG-006-20230923,WTG-006,2023-09-23,1738.27,0.748,54.9,0.369,20.0,2023-09
WTG-006-20230924,WTG-006,2023-09-24,2064.68,0.6998,32.4,0.532,18.3,2023-09
WTG-006-20230925,WTG-006,2023-09-25,1369.83,0.7498,30.3,0.416,22.2,2023-09
WTG-006-20230926,WTG-006,2023-09-26,1891.68,0.727,30.9,0.475,20.5,2023-09
WTG-006-20230927,WTG-006,2023-09-27,1943.91,0.7275,76.7,0.472,22.3,2023-09
WTG-006-20230928,WTG-006,2023-09-28,1577.61,0.7458,22.7,0.001,20.1,2023-09
WTG-006-20230929,WTG-006,2023-09-29,1474.53,0.7491,52.3,0.45,21.3,2023-09
WTG-006-20230930,WTG-006,2023-09-30,1640.63,0.7517,23.1,0.252,19.1,2023-09
WTG-006-20231001,WTG-006,2023-10-01,1885.37,0.8123,43.2,0.922,19.3,2023-10
WTG-006-20231002,WTG-006,2023-10-02,2105.29,0.7772,45.2,0.176,20.8,2023-10
WTG-006-20231003,WTG-006,2023-10-03,2141.71,0.7597,34.1,1.368,23.7,2023-10
WTG-006-20231004,WTG-006,2023-10-04,2135.15,0.7612,41.8,0.038,21.4,2023-10
WTG-006-20231005,WTG-006,2023-10-05,1928.03,0.8001,40.7,0.103,18.0,2023-10
WTG-006-20231006,WTG-006,2023-10-06,1907.09,0.7732,69.5,0.351,23.5,2023-10
WTG-006-20231007,WTG-006,2023-10-07,2263.86,0.801,60.5,0.093,19.1,2023-10
WTG-006-20231008,WTG-006,2023-10-08,1439.95,0.7832,47.8,0.188,22.0,2023-10
WTG-006-20231009,WTG-006,2023-10-09,2265.03,0.7605,67.0,1.138,20.6,2023-10
WTG-006-20231010,WTG-006,2023-10-10,1849.13,0.806,63.0,0.058,19.6,2023-10
WTG-006-20231011,WTG-006,2023-10-11,1417.08,0.7745,60.5,1.348,19.4,2023-10
WTG-006-20231012,WTG-006,2023-10-12,2262.18,0.7616,77.7,0.134,18.6,2023-10
WTG-006-20231013,WTG-006,2023-10-13,2073.75,0.7948,40.2,0.093,21.5,2023-10
WTG-006-20231014,WTG-006,2023-10-14,2031.02,0.7594,46.5,0.207,19.8,2023-10
WTG-006-20231015,WTG-006,2023-10-15,1694.53,0.7646,22.2,0.103,22.5,2023-10
WTG-006-20231016,WTG-006,2023-10-16,1982.29,0.7619,63.0,0.435,23.8,2023-10
WTG-006-20231017,WTG-006,2023-10-17,1952.65,0.7744,62.7,0.191,21.2,2023-10
WTG-006-20231018,WTG-006,2023-10-18,1758.6,0.7628,71.2,0.738,18.4,2023-10
WTG-006-20231019,WTG-006,2023-10-19,2220.87,0.7533,72.7,0.259,19.7,2023-10
WTG-006-20231020,WTG-006,2023-10-20,1984.99,0.8138,26.9,0.398,18.0,2023-10
WTG-006-20231021,WTG-006,2023-10-21,2044.41,0.7649,41.0,0.049,21.1,2023-10
WTG-006-20231022,WTG-006,2023-10-22,1903.95,0.7791,70.1,0.478,21.8,2023-10
WTG-006-20231023,WTG-006,2023-10-23,1992.77,0.8251,38.3,0.308,19.1,2023-10
WTG-006-20231024,WTG-006,2023-10-24,1934.67,0.8061,26.2,0.11,20.9,2023-10
WTG-006-20231025,WTG-006,2023-10-25,1789.52,0.8109,54.3,0.297,22.0,2023-10
WTG-006-20231026,WTG-006,2023-10-26,2002.13,0.837,37.8,0.197,23.8,2023-10
WTG-006-20231027,WTG-006,2023-10-27,2249.38,0.7933,45.0,0.681,23.1,2023-10
WTG-006-20231028,WTG-006,2023-10-28,1780.38,0.7839,41.4,0.894,18.3,2023-10
WTG-006-20231029,WTG-006,2023-10-29,1968.72,0.8473,52.4,0.11,20.6,2023-10
WTG-006-20231030,WTG-006,2023-10-30,2251.32,0.7813,35.7,1.012,21.9,2023-10
WTG-006-20231031,WTG-006,2023-10-31,1821.91,0.807,41.4,0.233,19.9,2023-10
WTG-006-20231101,WTG-006,2023-11-01,1681.73,0.8421,70.8,0.837,20.9,2023-11
WTG-006-20231102,WTG-006,2023-11-02,1423.25,0.5597,67.5,3.419,23.4,2023-11
WTG-006-20231103,WTG-006,2023-11-03,2159.91,0.8433,65.8,0.044,19.0,2023-11
WTG-006-20231104,WTG-006,2023-11-04,1763.71,0.8126,56.4,0.102,21.8,2023-11
WTG-006-20231105,WTG-006,2023-11-05,1647.68,0.878,39.8,0.131,23.3,2023-11
WTG-006-20231106,WTG-006,2023-11-06,1444.39,0.7986,79.3,0.538,20.2,2023-11
WTG-006-20231107,WTG-006,2023-11-07,1944.71,0.9174,40.7,0.524,23.3,2023-11
WTG-006-20231108,WTG-006,2023-11-08,1743.93,0.8474,22.2,0.076,23.5,2023-11
WTG-006-20231109,WTG-006,2023-11-09,1564.57,0.8264,77.6,1.056,22.5,2023-11
WTG-006-20231110,WTG-006,2023-11-10,2355.5,0.8546,40.8,0.744,19.6,2023-11
WTG-006-20231111,WTG-006,2023-11-11,1675.2,0.8682,76.1,0.172,21.1,2023-11
WTG-006-20231112,WTG-006,2023-11-12,2344.93,0.8576,71.3,0.286,20.3,2023-11
WTG-006-20231113,WTG-006,2023-11-13,2439.53,0.8425,65.3,0.129,23.3,2023-11
WTG-006-20231114,WTG-006,2023-11-14,1795.72,0.8863,67.1,0.453,23.4,2023-11
WTG-006-20231115,WTG-006,2023-11-15,1828.22,0.7932,70.0,0.01,18.7,2023-11
WTG-006-20231116,WTG-006,2023-11-16,2224.98,0.8909,51.8,0.927,19.4,2023-11
WTG-006-20231117,WTG-006,2023-11-17,1653.89,0.8325,55.8,0.144,20.0,2023-11
WTG-006-20231118,WTG-006,2023-11-18,2209.11,0.8422,45.7,1.0,22.2,2023-11
WTG-006-20231119,WTG-006,2023-11-19,1542.18,0.6071,45.6,3.759,23.9,2023-11
WTG-006-20231120,WTG-006,2023-11-20,2136.51,0.9189,71.4,0.092,19.6,2023-11
WTG-006-20231121,WTG-006,2023-11-21,2314.92,0.872,42.6,1.314,18.6,2023-11
WTG-006-20231122,WTG-006,2023-11-22,2346.89,0.9069,29.9,0.029,18.7,2023-11
WTG-006-20231123,WTG-006,2023-11-23,2066.38,0.8393,67.8,0.202,21.6,2023-11
WTG-006-20231124,WTG-006,2023-11-24,2377.24,0.8881,22.8,0.399,20.8,2023-11
WTG-006-20231125,WTG-006,2023-11-25,1833.62,0.8695,36.2,0.265,19.5,2023-11
WTG-006-20231126,WTG-006,2023-11-26,1934.71,0.9047,52.9,0.043,23.5,2023-11
WTG-006-20231127,WTG-006,2023-11-27,1997.16,0.8789,38.2,0.309,19.5,2023-11
WTG-006-20231128,WTG-006,2023-11-28,1973.97,0.9118,48.1,1.035,18.3,2023-11
WTG-006-20231129,WTG-006,2023-11-29,1778.55,0.8621,60.7,0.437,21.3,2023-11
WTG-006-20231130,WTG-006,2023-11-30,1842.94,0.8947,68.2,0.255,19.1,2023-11
WTG-006-20231201,WTG-006,2023-12-01,1562.4,0.8184,50.9,0.033,20.1,2023-12
WTG-006-20231202,WTG-006,2023-12-02,2125.0,0.918,33.6,0.304,23.7,2023-12
WTG-006-20231203,WTG-006,2023-12-03,1871.63,0.948,21.8,1.355,21.2,2023-12
WTG-006-20231204,WTG-006,2023-12-04,2214.46,0.9311,78.1,0.558,18.9,2023-12
WTG-006-20231205,WTG-006,2023-12-05,1828.5,0.8941,66.0,0.175,18.1,2023-12
WTG-006-20231206,WTG-006,2023-12-06,2503.03,0.8767,47.4,0.265,21.3,2023-12
WTG-006-20231207,WTG-006,2023-12-07,1577.87,0.8471,76.4,0.103,19.2,2023-12
WTG-006-20231208,WTG-006,2023-12-08,1213.45,0.6136,62.7,3.576,19.4,2023-12
WTG-006-20231209,WTG-006,2023-12-09,1969.69,0.7978,73.3,0.197,18.8,2023-12
WTG-006-20231210,WTG-006,2023-12-10,2186.72,0.9468,21.1,0.017,20.9,2023-12
WTG-006-20231211,WTG-006,2023-12-11,2521.09,0.8959,56.1,0.303,20.4,2023-12
WTG-006-20231212,WTG-006,2023-12-12,2644.88,0.8822,30.9,0.064,18.9,2023-12
WTG-006-20231213,WTG-006,2023-12-13,2337.23,0.9011,70.9,0.697,20.7,2023-12
WTG-006-20231214,WTG-006,2023-12-14,2250.93,0.9494,58.7,0.408,21.9,2023-12
WTG-006-20231215,WTG-006,2023-12-15,2482.63,0.9323,58.6,0.367,22.1,2023-12
WTG-006-20231216,WTG-006,2023-12-16,1504.42,0.6086,75.4,4.789,20.2,2023-12
WTG-006-20231217,WTG-006,2023-12-17,1833.86,0.898,24.2,0.741,19.5,2023-12
WTG-006-20231218,WTG-006,2023-12-18,2726.36,0.9561,46.6,0.168,23.4,2023-12
WTG-006-20231219,WTG-006,2023-12-19,1872.19,0.9376,21.6,0.047,19.7,2023-12
WTG-006-20231220,WTG-006,2023-12-20,2617.36,0.9131,47.2,0.189,23.6,2023-12
WTG-006-20231221,WTG-006,2023-12-21,2604.44,0.9261,50.7,0.779,19.1,2023-12
WTG-006-20231222,WTG-006,2023-12-22,2540.8,0.9228,49.4,0.02,22.6,2023-12
WTG-006-20231223,WTG-006,2023-12-23,2344.86,0.9168,25.1,1.467,19.8,2023-12
WTG-006-20231224,WTG-006,2023-12-24,2396.61,0.9029,64.5,0.346,20.8,2023-12
WTG-006-20231225,WTG-006,2023-12-25,2243.86,0.9078,34.8,1.889,22.8,2023-12
WTG-006-20231226,WTG-006,2023-12-26,1724.0,0.8857,31.4,0.119,21.3,2023-12
WTG-006-20231227,WTG-006,2023-12-27,1985.58,0.912,25.1,0.312,22.5,2023-12
WTG-006-20231228,WTG-006,2023-12-28,2652.9,0.9008,79.4,0.824,19.1,2023-12
WTG-006-20231229,WTG-006,2023-12-29,1992.02,0.9021,39.1,1.568,22.7,2023-12
WTG-006-20231230,WTG-006,2023-12-30,2510.83,0.8988,29.8,1.025,19.6,2023-12
WTG-006-20231231,WTG-006,2023-12-31,2439.41,0.9425,59.2,0.05,19.9,2023-12
WTG-007-20230101,WTG-007,2023-01-01,1894.54,1.0,36.6,0.143,19.4,2023-01
WTG-007-20230102,WTG-007,2023-01-02,2489.71,1.0,39.7,0.858,19.1,2023-01
WTG-007-20230103,WTG-007,2023-01-03,1867.01,1.0,78.7,0.782,20.9,2023-01
WTG-007-20230104,WTG-007,2023-01-04,2510.93,1.0,65.5,0.106,21.4,2023-01
WTG-007-20230105,WTG-007,2023-01-05,2855.19,1.0,76.3,0.26,21.4,2023-01
WTG-007-20230106,WTG-007,2023-01-06,2636.57,1.0,79.7,0.007,20.1,2023-01
WTG-007-20230107,WTG-007,2023-01-07,2650.95,1.0,25.1,0.677,22.2,2023-01
WTG-007-20230108,WTG-007,2023-01-08,2103.4,1.0,57.7,0.718,23.3,2023-01
WTG-007-20230109,WTG-007,2023-01-09,2873.6,1.0,20.7,1.689,20.8,2023-01
WTG-007-20230110,WTG-007,2023-01-10,1952.64,1.0,43.8,0.158,19.7,2023-01
WTG-007-20230111,WTG-007,2023-01-11,1827.23,0.8401,50.5,3.445,19.5,2023-01
WTG-007-20230112,WTG-007,2023-01-12,2386.01,1.0,59.2,0.065,19.1,2023-01
WTG-007-20230113,WTG-007,2023-01-13,2388.55,1.0,24.4,0.018,20.8,2023-01
WTG-007-20230114,WTG-007,2023-01-14,1964.26,1.0,61.3,2.474,20.4,2023-01
WTG-007-20230115,WTG-007,2023-01-15,2356.26,1.0,64.2,0.069,21.1,2023-01
WTG-007-20230116,WTG-007,2023-01-16,1993.4,1.0,45.6,0.07,22.2,2023-01
WTG-007-20230117,WTG-007,2023-01-17,1967.73,1.0,55.0,2.1,18.6,2023-01
WTG-007-20230118,WTG-007,2023-01-18,2843.35,1.0,24.3,1.043,21.1,2023-01
WTG-007-20230119,WTG-007,2023-01-19,2166.96,1.0,73.1,0.643,22.0,2023-01
WTG-007-20230120,WTG-007,2023-01-20,2108.54,1.0,57.1,0.308,22.7,2023-01
WTG-007-20230121,WTG-007,2023-01-21,2282.58,1.0,24.0,0.363,20.1,2023-01
WTG-007-20230122,WTG-007,2023-01-22,2941.24,1.0,49.1,0.314,21.9,2023-01
WTG-007-20230123,WTG-007,2023-01-23,2603.93,1.0,20.8,0.114,22.1,2023-01
WTG-007-20230124,WTG-007,2023-01-24,2807.83,1.0,37.5,1.337,21.3,2023-01
WTG-007-20230125,WTG-007,2023-01-25,2955.74,1.0,27.4,0.147,22.9,2023-01
WTG-007-20230126,WTG-007,2023-01-26,2805.78,1.0,50.9,0.237,23.5,2023-01
WTG-007-20230127,WTG-007,2023-01-27,2496.26,1.0,73.3,0.321,22.5,2023-01
WTG-007-20230128,WTG-007,2023-01-28,2683.79,1.0,75.5,0.296,19.0,2023-01
WTG-007-20230129,WTG-007,2023-01-29,1846.72,1.0,22.2,0.891,21.5,2023-01
WTG-007-20230130,WTG-007,2023-01-30,2873.07,1.0,24.2,1.964,21.7,2023-01
WTG-007-20230131,WTG-007,2023-01-31,2315.21,1.0,71.7,0.082,19.7,2023-01
WTG-007-20230201,WTG-007,2023-02-01,2053.05,1.0,34.3,1.248,18.5,2023-02
WTG-007-20230202,WTG-007,2023-02-02,2997.24,1.0,65.2,1.767,22.7,2023-02
WTG-007-20230203,WTG-007,2023-02-03,2648.72,1.0,24.8,0.257,21.9,2023-02
WTG-007-20230204,WTG-007,2023-02-04,2920.2,1.0,22.1,0.733,22.3,2023-02
WTG-007-20230205,WTG-007,2023-02-05,2916.85,1.0,65.7,0.367,19.2,2023-02
WTG-007-20230206,WTG-007,2023-02-06,2747.65,1.0,31.7,0.458,20.0,2023-02
WTG-007-20230207,WTG-007,2023-02-07,1729.5,0.8477,46.8,3.925,19.6,2023-02
WTG-007-20230208,WTG-007,2023-02-08,1892.98,1.0,55.6,0.105,20.2,2023-02
WTG-007-20230209,WTG-007,2023-02-09,2309.21,1.0,74.9,0.345,20.4,2023-02
WTG-007-20230210,WTG-007,2023-02-10,2582.37,1.0,49.2,0.781,23.5,2023-02
WTG-007-20230211,WTG-007,2023-02-11,2515.69,1.0,50.0,1.998,23.0,2023-02
WTG-007-20230212,WTG-007,2023-02-12,2118.57,1.0,32.5,1.444,18.1,2023-02
WTG-007-20230213,WTG-007,2023-02-13,1979.11,1.0,69.2,0.161,20.1,2023-02
WTG-007-20230214,WTG-007,2023-02-14,2588.87,1.0,20.9,0.033,18.6,2023-02
WTG-007-20230215,WTG-007,2023-02-15,2777.76,1.0,73.3,0.14,21.4,2023-02
WTG-007-20230216,WTG-007,2023-02-16,2428.77,1.0,28.1,0.013,18.9,2023-02
WTG-007-20230217,WTG-007,2023-02-17,1888.34,1.0,31.4,0.206,18.5,2023-02
WTG-007-20230218,WTG-007,2023-02-18,2068.2,1.0,70.8,0.339,22.9,2023-02
WTG-007-20230219,WTG-007,2023-02-19,2981.62,1.0,66.2,1.69,21.1,2023-02
WTG-007-20230220,WTG-007,2023-02-20,2956.97,1.0,39.5,0.801,19.3,2023-02
WTG-007-20230221,WTG-007,2023-02-21,2015.82,1.0,40.8,1.339,18.9,2023-02
WTG-007-20230222,WTG-007,2023-02-22,2191.17,1.0,53.8,0.104,22.8,2023-02
WTG-007-20230223,WTG-007,2023-02-23,2057.71,1.0,31.2,0.303,22.5,2023-02
WTG-007-20230224,WTG-007,2023-02-24,2304.16,1.0,78.1,0.593,22.3,2023-02
WTG-007-20230225,WTG-007,2023-02-25,2969.53,1.0,61.3,1.127,22.2,2023-02
WTG-007-20230226,WTG-007,2023-02-26,2739.58,1.0,37.8,0.414,19.5,2023-02
WTG-007-20230227,WTG-007,2023-02-27,1932.6,1.0,69.8,0.462,19.1,2023-02
WTG-007-20230228,WTG-007,2023-02-28,2221.83,1.0,23.8,2.133,18.2,2023-02
WTG-007-20230301,WTG-007,2023-03-01,2245.47,1.0,58.8,0.22,22.0,2023-03
WTG-007-20230302,WTG-007,2023-03-02,2588.27,1.0,36.8,0.015,20.5,2023-03
WTG-007-20230303,WTG-007,2023-03-03,2360.61,1.0,62.3,0.185,19.9,2023-03
WTG-007-20230304,WTG-007,2023-03-04,2219.31,1.0,62.3,0.385,20.8,2023-03
WTG-007-20230305,WTG-007,2023-03-05,2563.62,1.0,59.6,0.171,18.8,2023-03
WTG-007-20230306,WTG-007,2023-03-06,2291.4,1.0,30.2,0.707,23.0,2023-03
WTG-007-20230307,WTG-007,2023-03-07,2528.2,1.0,71.6,0.008,18.6,2023-03
WTG-007-20230308,WTG-007,2023-03-08,2395.64,1.0,48.4,0.186,23.2,2023-03
WTG-007-20230309,WTG-007,2023-03-09,2222.96,1.0,66.5,0.015,22.0,2023-03
WTG-007-20230310,WTG-007,2023-03-10,1892.75,1.0,35.5,0.049,19.9,2023-03
WTG-007-20230311,WTG-007,2023-03-11,2216.6,1.0,53.7,0.284,20.8,2023-03
WTG-007-20230312,WTG-007,2023-03-12,2387.2,1.0,68.8,0.052,18.4,2023-03
WTG-007-20230313,WTG-007,2023-03-13,2717.28,1.0,63.4,0.416,20.8,2023-03
WTG-007-20230314,WTG-007,2023-03-14,2775.91,1.0,58.6,0.306,23.2,2023-03
WTG-007-20230315,WTG-007,2023-03-15,1828.57,1.0,23.1,1.594,19.7,2023-03
WTG-007-20230316,WTG-007,2023-03-16,1896.53,1.0,29.4,0.144,20.9,2023-03
WTG-007-20230317,WTG-007,2023-03-17,2983.68,1.0,46.5,0.365,21.1,2023-03
WTG-007-20230318,WTG-007,2023-03-18,1505.66,0.8355,45.9,3.054,22.2,2023-03
WTG-007-20230319,WTG-007,2023-03-19,2873.66,1.0,75.7,1.863,23.6,2023-03
WTG-007-20230320,WTG-007,2023-03-20,2767.45,1.0,73.3,0.953,20.6,2023-03
WTG-007-20230321,WTG-007,2023-03-21,1895.01,0.9885,22.4,0.7,20.6,2023-03
WTG-007-20230322,WTG-007,2023-03-22,2780.55,1.0,75.0,0.177,23.7,2023-03
WTG-007-20230323,WTG-007,2023-03-23,1898.36,1.0,45.9,0.881,20.8,2023-03
WTG-007-20230324,WTG-007,2023-03-24,2938.66,1.0,23.6,1.143,19.8,2023-03
WTG-007-20230325,WTG-007,2023-03-25,2306.82,1.0,30.3,0.222,19.2,2023-03
WTG-007-20230326,WTG-007,2023-03-26,2757.52,1.0,54.1,1.118,21.8,2023-03
WTG-007-20230327,WTG-007,2023-03-27,2601.13,1.0,47.0,0.585,18.4,2023-03
WTG-007-20230328,WTG-007,2023-03-28,2721.64,1.0,20.8,0.122,18.4,2023-03
WTG-007-20230329,WTG-007,2023-03-29,2707.05,1.0,68.8,0.002,21.0,2023-03
WTG-007-20230330,WTG-007,2023-03-30,1900.07,0.9995,30.9,0.323,21.9,2023-03
WTG-007-20230331,WTG-007,2023-03-31,2022.27,1.0,32.3,0.136,19.4,2023-03
WTG-007-20230401,WTG-007,2023-04-01,2731.17,1.0,63.2,0.068,18.3,2023-04
WTG-007-20230402,WTG-007,2023-04-02,1865.18,0.9838,28.9,0.011,21.8,2023-04
WTG-007-20230403,WTG-007,2023-04-03,2293.01,1.0,42.3,0.176,18.9,2023-04
WTG-007-20230404,WTG-007,2023-04-04,1958.74,1.0,26.8,0.138,19.8,2023-04
WTG-007-20230405,WTG-007,2023-04-05,2246.96,1.0,47.5,0.196,19.1,2023-04
WTG-007-20230406,WTG-007,2023-04-06,2934.1,1.0,79.2,0.023,18.9,2023-04
WTG-007-20230407,WTG-007,2023-04-07,1892.21,0.9679,47.4,0.159,20.1,2023-04
WTG-007-20230408,WTG-007,2023-04-08,2301.79,0.9948,79.0,0.199,23.3,2023-04
WTG-007-20230409,WTG-007,2023-04-09,1890.77,1.0,47.8,2.267,22.6,2023-04
WTG-007-20230410,WTG-007,2023-04-10,2735.56,1.0,72.5,0.613,22.6,2023-04
WTG-007-20230411,WTG-007,2023-04-11,2812.66,1.0,60.4,0.182,18.2,2023-04
WTG-007-20230412,WTG-007,2023-04-12,2494.33,0.9964,37.9,0.081,23.0,2023-04
WTG-007-20230413,WTG-007,2023-04-13,2239.22,1.0,38.2,0.004,23.0,2023-04
WTG-007-20230414,WTG-007,2023-04-14,2556.91,1.0,50.2,0.374,23.6,2023-04
WTG-007-20230415,WTG-007,2023-04-15,2356.01,0.9674,21.7,0.021,21.7,2023-04
WTG-007-20230416,WTG-007,2023-04-16,2284.4,0.9824,53.3,0.804,21.7,2023-04
WTG-007-20230417,WTG-007,2023-04-17,2680.29,0.9998,57.3,1.741,19.2,2023-04
WTG-007-20230418,WTG-007,2023-04-18,2301.63,0.941,60.3,0.052,20.3,2023-04
WTG-007-20230419,WTG-007,2023-04-19,2455.91,1.0,25.3,2.743,23.4,2023-04
WTG-007-20230420,WTG-007,2023-04-20,2830.38,1.0,75.2,0.218,22.3,2023-04
WTG-007-20230421,WTG-007,2023-04-21,2187.07,1.0,45.5,0.079,23.0,2023-04
WTG-007-20230422,WTG-007,2023-04-22,2164.59,0.9493,73.6,0.343,21.3,2023-04
WTG-007-20230423,WTG-007,2023-04-23,2170.03,0.9658,42.3,0.108,18.7,2023-04
WTG-007-20230424,WTG-007,2023-04-24,2528.37,0.9282,78.1,0.742,19.5,2023-04
WTG-007-20230425,WTG-007,2023-04-25,2315.96,0.9256,32.9,1.1,24.0,2023-04
WTG-007-20230426,WTG-007,2023-04-26,2633.4,0.929,43.4,0.371,23.5,2023-04
